Trip ID	RFID	Trip length (in seconds)
1	00 4A 31 06 09 00 12 E0	819
2	00 4A 31 06 09 00 12 E0	979
3	00 4A 31 06 09 00 12 E0	527
4	00 4A 31 06 09 00 12 E0	1712
5	00 4A 31 06 09 00 12 E0	2712
6	00 4A 31 06 09 00 12 E0	1591
7	00 4A 31 06 09 00 12 E0	1496
8	00 4A 31 06 09 00 12 E0	1203
9	00 4A 31 06 09 00 12 E0	1651
10	00 4A 31 06 09 00 12 E0	3020
11	00 4A 31 06 09 00 12 E0	1517
12	00 4A 31 06 09 00 12 E0	2952
13	00 4A 31 06 09 00 12 E0	4002
14	00 4A 31 06 09 00 12 E0	829
15	00 4A 31 06 09 00 12 E0	1748
16	00 4A 31 06 09 00 12 E0	1768
17	00 4A 31 06 09 00 12 E0	1156
18	00 4A 31 06 09 00 12 E0	1827
19	00 4A 31 06 09 00 12 E0	912
20	00 4A 31 06 09 00 12 E0	1514
21	00 4A 31 06 09 00 12 E0	1946
22	00 4A 31 06 09 00 12 E0	1631
23	00 4A 31 06 09 00 12 E0	1272
24	00 4A 31 06 09 00 12 E0	1455
25	00 4A 31 06 09 00 12 E0	1688
26	00 4A 31 06 09 00 12 E0	1968
27	00 4A 31 06 09 00 12 E0	1034
28	00 4A 31 06 09 00 12 E0	1933
29	00 4A 31 06 09 00 12 E0	1208
30	00 4A 31 06 09 00 12 E0	1732
31	00 4A 31 06 09 00 12 E0	1275
32	00 4A 31 06 09 00 12 E0	1295
33	00 4A 31 06 09 00 12 E0	2121
34	02 4A 31 06 09 00 12 E0	323
35	02 4A 31 06 09 00 12 E0	740
36	02 4A 31 06 09 00 12 E0	376
37	02 4A 31 06 09 00 12 E0	532
38	02 4A 31 06 09 00 12 E0	651
39	02 4A 31 06 09 00 12 E0	958
40	02 4A 31 06 09 00 12 E0	3140
41	02 4A 31 06 09 00 12 E0	1425
42	02 4A 31 06 09 00 12 E0	791
43	02 4A 31 06 09 00 12 E0	411
44	02 4A 31 06 09 00 12 E0	6775
45	02 4A 31 06 09 00 12 E0	421
46	02 4A 31 06 09 00 12 E0	1405
47	02 4A 31 06 09 00 12 E0	2221
48	02 4A 31 06 09 00 12 E0	1829
49	02 4A 31 06 09 00 12 E0	396
50	02 4A 31 06 09 00 12 E0	425
51	02 4A 31 06 09 00 12 E0	321
52	02 4A 31 06 09 00 12 E0	376
53	02 4A 31 06 09 00 12 E0	367
54	02 4A 31 06 09 00 12 E0	350
55	02 4A 31 06 09 00 12 E0	317
56	02 4A 31 06 09 00 12 E0	414
57	02 4A 31 06 09 00 12 E0	797
58	02 4A 31 06 09 00 12 E0	818
59	02 4A 31 06 09 00 12 E0	335
60	02 4A 31 06 09 00 12 E0	444
