RFID	number of trips
00 4A 31 06 09 00 12 E0	33
02 4A 31 06 09 00 12 E0	89
07 4A 31 06 09 00 12 E0	1
09 4A 31 06 09 00 12 E0	83
0A 4A 31 06 09 00 12 E0	5
0C 4F 31 06 09 00 12 E0	1
0D 4F 31 06 09 00 12 E0	4
0F 4A 31 06 09 00 12 E0	1
12 4A 31 06 09 00 12 E0	38
13 4A 31 06 09 00 12 E0	12
14 51 31 06 09 00 12 E0	1
15 51 31 06 09 00 12 E0	199
16 4A 31 06 09 00 12 E0	5
16 51 31 06 09 00 12 E0	6
16 61 31 06 09 00 12 E0	5
17 4A 31 06 09 00 12 E0	17
19 51 31 06 09 00 12 E0	5
24 51 31 06 09 00 12 E0	38
26 51 31 06 09 00 12 E0	3
28 51 31 06 09 00 12 E0	1
29 4D 31 06 09 00 12 E0	1
29 51 31 06 09 00 12 E0	4
2B 51 31 06 09 00 12 E0	39
2F 51 31 06 09 00 12 E0	19
3B 63 31 06 09 00 12 E0	2
3C 51 31 06 09 00 12 E0	2
3E 51 31 06 09 00 12 E0	5
3E 63 31 06 09 00 12 E0	123
3F 51 31 06 09 00 12 E0	37
42 63 31 06 09 00 12 E0	38
43 63 31 06 09 00 12 E0	12
47 54 31 06 09 00 12 E0	60
4B 54 31 06 09 00 12 E0	13
4D 63 31 06 09 00 12 E0	1
4F 54 31 06 09 00 12 E0	8
4F 63 31 06 09 00 12 E0	1
50 63 31 06 09 00 12 E0	3
53 61 31 06 09 00 12 E0	4
56 50 31 06 09 00 12 E0	10
56 61 31 06 09 00 12 E0	14
64 61 31 06 09 00 12 E0	36
66 61 31 06 09 00 12 E0	42
67 50 31 06 09 00 12 E0	25
68 50 31 06 09 00 12 E0	24
6B 52 31 06 09 00 12 E0	1
6C 52 31 06 09 00 12 E0	31
6F 52 31 06 09 00 12 E0	1
70 52 31 06 09 00 12 E0	68
76 50 31 06 09 00 12 E0	2
90 64 31 06 09 00 12 E0	39
91 64 31 06 09 00 12 E0	21
A6 54 31 06 09 00 12 E0	4
A7 54 31 06 09 00 12 E0	1
A7 61 31 06 09 00 12 E0	1
A8 54 31 06 09 00 12 E0	44
A8 61 31 06 09 00 12 E0	10
A9 61 31 06 09 00 12 E0	17
AC 61 31 06 09 00 12 E0	2
AD 61 31 06 09 00 12 E0	24
AE 61 31 06 09 00 12 E0	11
AF 61 31 06 09 00 12 E0	20
AF 64 22 06 08 00 12 E0	6
B1 67 22 06 08 00 12 E0	2
B3 61 31 06 09 00 12 E0	55
B4 61 31 06 09 00 12 E0	1
B6 61 31 06 09 00 12 E0	15
B6 67 22 06 08 00 12 E0	2
B7 61 31 06 09 00 12 E0	4
B7 64 22 06 08 00 12 E0	6
B8 61 31 06 09 00 12 E0	24
B9 61 31 06 09 00 12 E0	54
BA 61 31 06 09 00 12 E0	15
BB 61 31 06 09 00 12 E0	1
BC 61 31 06 09 00 12 E0	25
BC 64 22 06 08 00 12 E0	10
BD 61 31 06 09 00 12 E0	22
BE 64 22 06 08 00 12 E0	1
BF 61 31 06 09 00 12 E0	45
C0 61 31 06 09 00 12 E0	48
C2 50 31 06 09 00 12 E0	1
C3 66 22 06 08 00 12 E0	11
C4 66 22 06 08 00 12 E0	39
C7 64 22 06 08 00 12 E0	47
C8 54 31 06 09 00 12 E0	20
CA 53 31 06 09 00 12 E0	6
CB 53 31 06 09 00 12 E0	72
CB 66 22 06 08 00 12 E0	16
CD 64 22 06 08 00 12 E0	132
CF 52 22 06 08 00 12 E0	3
CF 63 31 06 09 00 12 E0	2
D0 52 22 06 08 00 12 E0	1
D0 61 31 06 09 00 12 E0	3
D0 63 31 06 09 00 12 E0	52
D0 64 22 06 08 00 12 E0	61
D3 61 31 06 09 00 12 E0	5
D3 63 31 06 09 00 12 E0	86
D4 61 31 06 09 00 12 E0	6
D5 64 22 06 08 00 12 E0	6
D7 63 31 06 09 00 12 E0	14
D8 63 31 06 09 00 12 E0	2
D9 53 31 06 09 00 12 E0	73
D9 63 31 06 09 00 12 E0	86
DA 63 31 06 09 00 12 E0	17
DB 63 31 06 09 00 12 E0	1
DB 66 22 06 08 00 12 E0	1
DC 53 31 06 09 00 12 E0	6
DD 53 31 06 09 00 12 E0	26
DF 53 31 06 09 00 12 E0	3
DF 63 31 06 09 00 12 E0	3
E0 53 31 06 09 00 12 E0	5
E1 53 31 06 09 00 12 E0	33
E1 63 31 06 09 00 12 E0	60
E2 63 31 06 09 00 12 E0	5
E2 66 22 06 08 00 12 E0	14
E3 63 31 06 09 00 12 E0	10
E5 53 31 06 09 00 12 E0	2
E6 49 31 06 09 00 12 E0	59
E7 53 31 06 09 00 12 E0	1
E7 63 31 06 09 00 12 E0	3
E7 66 22 06 08 00 12 E0	16
E8 53 31 06 09 00 12 E0	14
E8 63 31 06 09 00 12 E0	25
E9 53 31 06 09 00 12 E0	8
EA 53 31 06 09 00 12 E0	15
EA 63 31 06 09 00 12 E0	3
EB 63 31 06 09 00 12 E0	12
EC 53 31 06 09 00 12 E0	2
EC 63 31 06 09 00 12 E0	7
ED 63 31 06 09 00 12 E0	1
EE 53 31 06 09 00 12 E0	7
EF 53 31 06 09 00 12 E0	3
EF 63 31 06 09 00 12 E0	11
F0 53 31 06 09 00 12 E0	23
F2 49 31 06 09 00 12 E0	30
F3 53 31 06 09 00 12 E0	24
F6 49 31 06 09 00 12 E0	26
F8 49 31 06 09 00 12 E0	6
F9 49 31 06 09 00 12 E0	26
FB 63 31 06 09 00 12 E0	33
FF 49 31 06 09 00 12 E0	5
