RFID,tag_number,abdomen_color,hive,Date,tagged_date
BE 64 22 66 08 00 12 E0,Y46,yellow,2,6/17/21,2021-06-17
C7 64 22 06 08 06 00 12 E0,Y11,yellow,2,6/17/21,2021-06-17
C4 66 22 66 08 00 12 E0,Y30,yellow,2,6/17/21,2021-06-17
B6 67 22 66 08 00 12 E0,Y44,yellow,2,6/17/21,2021-06-17
C8 66 22 66 08 00 12 E0,Y22,yellow,2,6/17/21,2021-06-17
E6 63 31 06 09 00 12 E0,G1,green,2,7/13/21,2021-07-13
D3 63 31 06 09 00 12 E0,G2,green,2,7/13/21,2021-07-13
B1 67 22 06 08 00 12 E0,G3,green,2,7/13/21,2021-07-13
EC 63 31 06 09 00 12 E0,G5,green,2,7/13/21,2021-07-13
E5 63 31 06 09 00 12 E0,G4,green,2,7/13/21,2021-07-13
65 61 31 06 09 00 12 E0,G6,green,2,7/13/21,2021-07-13
B4 61 31 06 09 00 12 E0,G8,green,2,7/13/21,2021-07-13
A8 61 31 06 09 00 12 E0,G7,green,2,7/13/21,2021-07-13
64 61 31 06 09 00 12 E0,G10,green,2,7/13/21,2021-07-13
C8 61 31 06 09 00 12 E0,G11,green,2,7/13/21,2021-07-13
C1 61 31 06 09 00 12 E0,G12,green,2,7/13/21,2021-07-13
AF 61 31 06 09 00 12 E0,G13,green,2,7/13/21,2021-07-13
EA 63 31 06 09 00 12 E0,G14,green,2,7/13/21,2021-07-13
74 52 31 06 09 00 12 E0,G15,green,2,7/13/21,2021-07-13
B5 61 31 06 09 00 12 E0,G16,green,2,7/13/21,2021-07-13
AE 61 31 06 09 00 12 E0,G17,green,2,7/13/21,2021-07-13
DE 63 31 06 09 00 12 E0,G18,green,2,7/13/21,2021-07-13
B0 61 31 06 09 00 12 E0,G19,green,2,7/13/21,2021-07-13
C3 61 31 06 09 00 12 E0,G20,green,2,7/13/21,2021-07-13
A6 61 31 06 09 00 12 E0,G21,green,2,7/13/21,2021-07-13
F9 63 31 06 09 00 12 E0,G22,green,2,7/13/21,2021-07-13
0D 4F 31 06 09 00 12 E0,G23,green,2,7/13/21,2021-07-13
CF 63 31 06 09 00 12 E0,G25,green,2,7/13/21,2021-07-13
53 61 31 06 09 00 12 E0,G26,green,2,7/13/21,2021-07-13
7D 52 31 06 09 00 12 E0,G27,green,2,7/13/21,2021-07-13
66 61 31 06 09 00 12 E0,G28,green,2,7/13/21,2021-07-13
B7 61 31 06 09 00 12 E0,G30,green,2,7/13/21,2021-07-13
C0 61 31 06 09 00 12 E0,G29,green,2,7/13/21,2021-07-13
F4 63 31 06 09 00 12 E0,G32,green,2,7/13/21,2021-07-13
6C 52 31 06 09 00 12 E0,G33,green,2,7/13/21,2021-07-13
04 64 31 06 09 00 12 E0,G34,green,2,7/13/21,2021-07-13
4F 54 31 06 09 00 12 E0,G36,green,2,7/13/21,2021-07-13
